event_id,plate,zone,zone_id,speed,limit,time,camera,status
0,DL59QR2695,GH-4 Gate,8,53,20,2026-03-24 10:17:58,CAM-3,VIOLATION
1,DL86SZ9423,Hospital Road,6,58,20,2026-03-23 21:39:58,CAM-3,VIOLATION
2,AS95FF9779,Residential Zone,4,62,15,2026-03-23 23:44:58,CAM-4,VIOLATION
3,DL39UK9366,GH-4 Gate,8,43,20,2026-03-24 06:15:58,CAM-5,VIOLATION
4,AS20XH6881,Academic Block A,2,30,20,2026-03-24 05:59:58,CAM-7,VIOLATION
5,AS40IU3799,Hospital Road,6,62,20,2026-03-24 01:18:58,CAM-7,VIOLATION
6,KA14YZ5213,Residential Zone,4,29,15,2026-03-24 09:05:58,CAM-9,VIOLATION
7,ML46MM6488,Hospital Road,6,30,20,2026-03-23 21:28:58,CAM-5,VIOLATION
8,AS78YT6554,Academic Block A,2,12,20,2026-03-24 11:15:58,CAM-4,NORMAL
9,DL83WU9535,GH-4 Gate,8,69,20,2026-03-23 18:16:58,CAM-5,VIOLATION
10,WB35LG7640,Academic Block A,2,64,20,2026-03-24 06:29:58,CAM-9,VIOLATION
11,WB57OF5240,Library Junction,7,38,20,2026-03-24 08:13:58,CAM-12,VIOLATION
12,KA26GV1325,Academic Block B,3,41,20,2026-03-23 23:53:58,CAM-11,VIOLATION
13,WB59SZ3341,Academic Block B,3,17,20,2026-03-24 01:25:58,CAM-12,NORMAL
14,KA55JD5796,Hospital Road,6,66,20,2026-03-24 03:19:58,CAM-5,VIOLATION
15,KA16IA3366,Residential Zone,4,47,15,2026-03-23 16:02:58,CAM-11,VIOLATION
16,WB83EK6884,Main Gate,1,43,20,2026-03-24 11:25:58,CAM-4,VIOLATION
17,DL98TW1231,Sports Complex,5,53,25,2026-03-23 19:53:58,CAM-9,VIOLATION
18,DL62KW3487,Hospital Road,6,20,20,2026-03-23 20:38:58,CAM-1,NORMAL
19,AS95FF9779,Main Gate,1,54,20,2026-03-24 08:31:58,CAM-2,VIOLATION
20,WB83EK6884,GH-4 Gate,8,59,20,2026-03-24 08:40:58,CAM-8,VIOLATION
21,AS84QL6148,Sports Complex,5,19,25,2026-03-23 12:39:58,CAM-10,NORMAL
22,KA05JP7623,Main Gate,1,12,20,2026-03-24 10:12:58,CAM-8,NORMAL
23,ML96SL5034,Library Junction,7,38,20,2026-03-24 12:06:58,CAM-9,VIOLATION
24,ML28TE1153,Academic Block A,2,14,20,2026-03-23 12:39:58,CAM-9,NORMAL
25,DL63EZ3326,GH-4 Gate,8,47,20,2026-03-24 09:58:58,CAM-11,VIOLATION
26,ML28CR1695,Library Junction,7,47,20,2026-03-24 04:07:58,CAM-12,VIOLATION
27,DL31BI3386,Hospital Road,6,54,20,2026-03-23 18:42:58,CAM-4,VIOLATION
28,DL40VN4049,Academic Block B,3,64,20,2026-03-23 20:54:58,CAM-10,VIOLATION
29,WB48UU1369,Sports Complex,5,15,25,2026-03-23 14:03:58,CAM-11,NORMAL
30,KA04TV4558,Library Junction,7,67,20,2026-03-24 01:58:58,CAM-8,VIOLATION
31,ML88RX4292,Library Junction,7,47,20,2026-03-23 22:52:58,CAM-2,VIOLATION
32,KA91KA4712,Academic Block A,2,63,20,2026-03-23 14:54:58,CAM-6,VIOLATION
33,DL49NC5997,Sports Complex,5,52,25,2026-03-23 22:05:58,CAM-7,VIOLATION
34,AS66CQ3987,Library Junction,7,67,20,2026-03-24 11:21:58,CAM-7,VIOLATION
35,ML28TE1153,Academic Block A,2,31,20,2026-03-23 13:54:58,CAM-8,VIOLATION
36,KA92JX4694,Academic Block B,3,60,20,2026-03-23 12:34:58,CAM-11,VIOLATION
37,AS39TF1535,Sports Complex,5,56,25,2026-03-24 03:53:58,CAM-4,VIOLATION
38,AS86JG9373,Main Gate,1,55,20,2026-03-23 20:37:58,CAM-11,VIOLATION
39,DL98KR3808,Residential Zone,4,30,15,2026-03-24 06:49:58,CAM-10,VIOLATION
40,KA72NF7276,Main Gate,1,25,20,2026-03-23 19:04:58,CAM-6,VIOLATION
41,AS66CQ3987,GH-4 Gate,8,51,20,2026-03-23 21:52:58,CAM-6,VIOLATION
42,DL39UK9366,Library Junction,7,37,20,2026-03-23 17:03:58,CAM-8,VIOLATION
43,KA85SP8923,Library Junction,7,27,20,2026-03-24 07:19:58,CAM-5,VIOLATION
44,WB35LG7640,Sports Complex,5,39,25,2026-03-23 16:47:58,CAM-3,VIOLATION
45,DL15VL1668,Academic Block B,3,56,20,2026-03-24 02:42:58,CAM-2,VIOLATION
46,AS20GA9785,Library Junction,7,53,20,2026-03-24 10:18:58,CAM-7,VIOLATION
47,WB83EK6884,GH-4 Gate,8,10,20,2026-03-23 13:27:58,CAM-5,NORMAL
48,DL40VN4049,Main Gate,1,27,20,2026-03-23 23:56:58,CAM-12,VIOLATION
49,ML66DO3392,Main Gate,1,38,20,2026-03-24 01:57:58,CAM-9,VIOLATION
