violation_id,event_id,plate,fine,status
0,1,AS65TU9366,100,paid
1,4,AS12ZA3975,500,pending
2,5,AS54AT1052,500,pending
3,6,AS66VK1213,500,paid
4,7,AS05KY1998,500,paid
5,8,AS71CE7365,500,ignored
6,9,AS22MV2847,200,ignored
7,11,AS19KW5791,200,paid
8,12,AS45YM9835,500,pending
9,13,AS38FR3181,200,pending
10,14,AS71DO8439,200,ignored
11,15,AS55VJ8200,500,paid
12,16,AS13MN2878,500,paid
13,17,AS09HH1803,200,pending
14,19,AS70BF6519,500,pending
15,20,AS94EF3429,100,paid
16,22,AS89DQ1840,100,paid
17,24,AS69NQ6617,100,paid
18,25,AS34AU2679,100,pending
19,26,AS87LK4163,200,ignored
20,28,AS04AT5951,200,paid
21,31,AS99LQ4850,200,pending
22,34,AS87LK4163,500,ignored
23,35,AS19QJ9900,200,ignored
24,36,AS35IK7095,200,ignored
25,37,AS88MF9238,200,paid
26,38,AS19QJ9900,500,ignored
27,39,AS52JK7979,200,paid
28,41,AS69NQ6617,500,ignored
29,43,AS20TY3444,500,pending
30,46,AS43AD3212,100,paid
31,47,AS04AT5951,100,ignored
32,48,AS96RQ5336,200,paid
33,50,AS55GQ9769,100,paid
34,51,AS27YJ6621,500,paid
35,52,AS36XX6618,500,pending
36,53,AS73SS9211,500,ignored
37,54,AS65IC3953,200,paid
38,56,AS65IC3953,200,pending
39,57,AS19GR2926,500,paid
40,59,AS90SJ5556,100,paid
41,60,AS85SM9789,200,ignored
42,62,AS22TL1510,500,pending
43,66,AS13UX7383,100,pending
44,69,AS62MS1215,200,pending
45,71,AS66ZJ2958,500,pending
46,74,AS99LQ4850,500,pending
47,75,AS58WU1853,500,paid
48,76,AS51XY9781,200,ignored
49,78,AS05UH9255,500,ignored
50,79,AS84OG1618,500,paid
51,80,AS43PX7693,100,paid
52,81,AS05UG3234,200,pending
53,83,AS18QM8509,100,paid
54,86,AS57YJ7868,500,paid
55,87,AS12CO4107,100,pending
56,88,AS93KH1592,100,paid
57,89,AS95XC1278,100,paid
58,90,AS04RY2179,500,paid
59,91,AS88FL4572,500,ignored
60,92,AS39QL3589,100,pending
61,93,AS04RY2179,100,pending
62,95,AS04RY2179,200,pending
63,97,AS55GQ9769,500,paid
64,98,AS32DR5134,200,ignored
65,101,AS15QB9439,200,pending
66,102,AS52PE7404,100,paid
67,104,AS79HQ3978,200,ignored
68,106,AS96RQ5336,100,paid
69,107,AS86IT3774,200,pending
70,108,AS86IT3774,100,paid
71,110,AS92MO3602,100,ignored
72,111,AS59DG4675,100,paid
73,112,AS41DN4707,200,ignored
74,114,AS87LK4163,200,ignored
75,116,AS15QB9439,100,paid
76,117,AS32NR7509,500,ignored
77,119,AS67MA3086,200,paid
78,120,AS88QZ1502,500,pending
79,122,AS47AK7855,100,ignored
80,123,AS07UB8982,500,paid
81,124,AS88FL4572,500,ignored
82,126,AS22TB5639,200,ignored
83,127,AS46OP5469,500,ignored
84,128,AS38FR3181,200,pending
85,129,AS60YG8344,100,ignored
86,130,AS39JS8035,500,paid
87,131,AS88MF9238,100,pending
88,132,AS89DQ1840,500,pending
89,134,AS05UG3234,500,pending
90,135,AS21BQ3981,100,pending
91,137,AS70FR3450,500,ignored
92,138,AS53RY5275,500,ignored
93,139,AS27YJ6621,500,paid
94,142,AS52PE7404,500,pending
95,143,AS35IK7095,100,paid
96,144,AS86IT3774,200,paid
97,146,AS44MQ6366,200,paid
98,148,AS67YO2200,200,paid
99,150,AS45YM9835,200,pending
100,152,AS52PE7404,200,paid
101,153,AS19QJ9900,100,ignored
102,154,AS38AS7060,500,paid
103,155,AS41TW1081,100,pending
104,156,AS41PD6464,100,pending
105,157,AS74EI2865,500,paid
106,158,AS13FU9723,200,pending
107,159,AS15ZU2764,200,paid
108,160,AS71DV7863,100,ignored
109,161,AS60OC9630,200,paid
110,163,AS47AK7855,100,paid
111,164,AS99PT1471,200,pending
112,165,AS55JO6770,500,paid
113,166,AS88FL4572,200,pending
114,167,AS45YM9835,200,paid
115,168,AS10QB8289,500,pending
116,170,AS52JK7979,200,paid
117,172,AS46GK7354,100,pending
118,173,AS93XK1234,500,paid
119,175,AS22TB5639,100,paid
120,179,AS88QZ1502,200,paid
121,180,AS60YG8344,100,paid
122,181,AS36DE1089,100,paid
123,182,AS31HY7861,500,paid
